Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
FICCA/Climate change and ecosystem adaptation, CAS BY;Pyhäjärvi institute;Lakes in trouble: Understanding the effect of climate change on threatened ecosystem services of eutrophicated aquatic systems / Consortium: Lakes in trouble;Ventelä, Anne-Mari;256240;28.10.2011;01.01.2012 - 31.12.2014;235.310
FICCA/Climate change and ecosystem adaptation, CAS BY;University of Helsinki;Flux measurements of greenhouse gases for agricultural, lake and wetland ecosystems and process modelling of wetland methane production;Vesala, Timo;256082;28.10.2011;01.01.2012 - 31.12.2014;323.438
FICCA/Climate change and ecosystem adaptation, CAS BY;University of Helsinki;Lakes in trouble: Understanding the effect of climate change on threatened ecosystem services of eutrophicated aquatic systems / Consortium: Lakes in trouble;Nurminen, Leena;256244;28.10.2011;01.01.2012 - 31.12.2014;179.749
FICCA/Societal implications and consequences of climate change and climate policy, RFH BY;MTT Agrifood Research Finland;Adaptation of the food sector and socio-economic impacts of climate change in North-East Europe (ADIOSO);Lehtonen, Heikki;255954;28.10.2011;02.01.2012 - 31.12.2014;630.164
FICCA/Societal implications and consequences of climate change and climate policy, RFH KY;Aalto University;Economic effects of climate change across Russian regions;Kosonen, Riitta;255635;28.10.2011;01.04.2012 - 31.03.2015;477.342
FIRI 2010 BY;University of Helsinki;FIRI:GenoEvo;Hanski, Ilkka A;141500;03.01.2011;04.01.2011 - 31.12.2012;997.500
FIRI 2010 BY;University of Turku;Growth facility for plants and photosynthetic microorganisms;Aro, Eva-Mari;141471;08.12.2010;09.12.2010 - 31.07.2012;405.350
FIRI 2010 BY;Åbo Akademi University;Integrated Facility for Structural Bioinformatics and Pharmaceutical Sciences (SBPS);Johnson, Mark S;141398;08.12.2010;09.12.2010 - 30.07.2016;497.213
FIRI 2010 BY;Åbo Akademi University;National Center for Spectral Single Molecule Imaging;Abankwa, Daniel Kwaku Adofo;141516;08.12.2010;09.12.2010 - 31.12.2013;1.047.110
FIRI 2010 KY;University of Helsinki;Finnish Language Resource Infrastructure Content (FIN-CLARIN-CONTENT);Koskenniemi, Kimmo;141415;03.01.2011;04.01.2011 - 30.04.2015;705.999
FIRI 2010 KY;University of Helsinki;The Bank of Finnish Terminology of Arts and Sciences;Onikki, Tiina A;141440;03.01.2011;04.01.2011 - 31.12.2015;891.428
FIRI 2010 KY;University of Tampere -2018;FSD Upgrade;Borg, Sami;141434;08.12.2010;09.12.2010 - 31.07.2015;1.065.630
FIRI 2010 LT;Aalto University;Aalto Yliopiston nanomikroskopiakeskuksen varustaminen;Ruokolainen, Janne;141422;08.12.2010;09.12.2010 - 31.12.2015;476.140
FIRI 2010 LT;Aalto University;Finnish Grid Infrastructure (FGI) / Consortium: FGI;Nieminen, Risto;141470;03.01.2011;04.01.2011 - 31.12.2012;238.780
FIRI 2010 LT;Aalto University;MICRONOVA NANOFABRICATION INFRASTRUCTURE;Airaksinen, Veli;141536;03.01.2011;04.01.2011 - 31.12.2013;1.356.970
FIRI 2010 LT;Aalto University;Uprgade of Cryohall;Hakonen, Pertti;141408;08.12.2010;09.12.2010 - 31.12.2012;700.000
FIRI 2010 LT;CSC - It Center for Science Ltd.;Finnish Grid Infrastructure / Consortium: FGI;Lehtovuori, Pekka;141463;03.01.2011;04.01.2011 - 31.12.2014;158.251
FIRI 2010 LT;Helsinki University Central Hospital;Synchrotron based  studies at MAX IV (SR-MAXIV);Sovijärvi, Anssi;141508;03.01.2011;04.01.2011 - 31.12.2015;
FIRI 2010 LT;Lappeenranta-Lahti University of Technology LUT;National Finnish Grid Infrastructure (FGI) / Consortium: FGI;Alatalo, Matti;141457;03.01.2011;04.01.2011 - 31.12.2012;48.780
FIRI 2010 LT;Lappeenranta-Lahti University of Technology LUT;Nuclear Power Research Infrastructure (NUCPRI);Purhonen, Heikki;141438;03.01.2011;04.01.2011 - 31.12.2014;502.970
FIRI 2010 LT;Lappeenranta-Lahti University of Technology LUT;POWER ELECTRONICS FOR ENERGY EFFICIENT ENERGY CONVERSION SYSTEMS, ELECTRIC ENERGY STORAGES AND SUSTAINABILITY (PEECS);Pyrhönen, Juha;141454;08.12.2010;09.12.2010 - 31.12.2014;654.043
FIRI 2010 LT;Tampere University of Technology -2018;FIRI: Modular spectromicroscopy system for nanomaterials synthesis and characterization (NANOmat);Valden, Mika;141481;08.12.2010;09.12.2010 - 31.08.2013;1.384.431
FIRI 2010 LT;Tampere University of Technology -2018;National Finnish Grid Infrastructure (FGI) / Consortium: FGI;Vattulainen, Ilpo;141464;03.01.2011;04.01.2011 - 31.12.2012;158.770
